Center,steering_val
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG41\Image_1652949992718922.jpg,544.559082
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG41\Image_1652949992967134.jpg,544.383301
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG41\Image_1652949993217837.jpg,544.383301
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG41\Image_165294999348477.jpg,544.075684
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG41\Image_1652949993733145.jpg,544.383301
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG41\Image_1652949993985404.jpg,543.987793
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG41\Image_1652949994232501.jpg,544.119629
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG41\Image_1652949994484811.jpg,543.987793
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG41\Image_1652949994736477.jpg,537.037842
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG41\Image_1652949994986417.jpg,514.999268
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG41\Image_1652949995234785.jpg,472.638184
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG41\Image_165294999548477.jpg,435.952637
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG41\Image_1652949995732934.jpg,350.018677
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG41\Image_165294999598279.jpg,298.727905
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG41\Image_1652949996232454.jpg,246.514282
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG41\Image_1652949996477802.jpg,163.489502
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG41\Image_1652949996729837.jpg,95.175415
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG41\Image_1652949996994933.jpg,27.056885
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG41\Image_1652949997244832.jpg,-22.298096
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG41\Image_1652949997494836.jpg,-46.316406
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG41\Image_16529499977461.jpg,-61.096313
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG41\Image_1652949997994795.jpg,-86.213257
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG41\Image_1652949998244808.jpg,-105.831543
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG41\Image_1652949998493814.jpg,-151.510498
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG41\Image_1652949998743939.jpg,-157.22998
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG41\Image_1652949998993229.jpg,-160.748901
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG41\Image_16529499992438.jpg,-160.176514
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG41\Image_1652949999492886.jpg,-160.220459
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG41\Image_165294999974106.jpg,-155.162354
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG41\Image_1652950000006599.jpg,-151.290771
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG41\Image_1652950000255792.jpg,-144.957153
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG41\Image_1652950000507815.jpg,-141.349243
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG41\Image_1652950000757652.jpg,-140.294556
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG41\Image_16529500010058.jpg,-115.993896
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG41\Image_1652950001256078.jpg,-93.779541
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG41\Image_1652950001506648.jpg,-84.101685
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG41\Image_1652950001756487.jpg,-84.013794
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG41\Image_1652950002004637.jpg,-84.498291
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG41\Image_1652950002258657.jpg,-84.189575
